dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000867,1.083000,0.000020,0.001986,0.099292,4.964610,0.000801
0.020000,-0.000864,1.083000,0.000023,0.000135,-0.092557,-9.592438,0.000798
0.020000,-0.000858,1.083000,0.000029,0.000303,0.008419,5.048779,0.000793
0.020000,-0.000848,1.083000,0.000039,0.000539,0.011785,0.168304,0.000783
0.020000,-0.000831,1.083000,0.000056,0.000842,0.015149,0.168187,0.000767
0.020000,-0.000807,1.083000,0.000080,0.001212,0.018509,0.167995,0.000745
0.020000,-0.000774,1.083000,0.000113,0.001649,0.021863,0.167709,0.000714
0.020000,-0.000731,1.083000,0.000157,0.002153,0.025209,0.167312,0.000675
0.020000,-0.000676,1.083000,0.000211,0.002724,0.028545,0.166783,0.000624
0.020000,-0.000609,1.083000,0.000278,0.003362,0.031867,0.166106,0.000562
0.020000,-0.000527,1.083000,0.000360,0.004065,0.035172,0.165261,0.000487
0.020000,-0.000431,1.083000,0.000456,0.004834,0.038457,0.164229,0.000398
0.020000,-0.000317,1.083000,0.000570,0.005669,0.041717,0.162994,0.000293
0.020000,-0.000186,1.083000,0.000701,0.006567,0.044947,0.161535,0.000172
0.020000,-0.000035,1.083000,0.000852,0.007530,0.048144,0.159836,0.000033
0.020000,0.004165,1.083000,0.005052,0.210042,10.125557,503.870649,6.283060
0.020000,0.010097,1.082998,0.010984,0.296566,4.326226,-289.966558,6.282882
0.020000,0.016747,1.082996,0.017634,0.332499,1.796669,-126.477846,6.282683
0.020000,0.024156,1.082991,0.025044,0.370491,1.899592,5.146138,6.282461
0.020000,0.032365,1.082984,0.033252,0.410407,1.995804,4.810606,6.282216
0.020000,0.041414,1.082974,0.042301,0.452444,2.101859,5.302751,6.281947
0.020000,0.051345,1.082961,0.052233,0.496599,2.207701,5.292098,6.281652
0.020000,0.062198,1.082942,0.063085,0.542605,2.300314,4.630668,6.281331
0.020000,0.074014,1.082918,0.074901,0.590823,2.410923,5.530456,6.280982
0.020000,0.086834,1.082888,0.087721,0.640982,2.507951,4.851405,6.280605
0.020000,0.100698,1.082849,0.101585,0.693220,2.611882,5.196511,6.280199
0.020000,0.115647,1.082801,0.116534,0.747440,2.710990,4.955408,6.279762
0.020000,0.131722,1.082742,0.132610,0.803794,2.817700,5.335495,6.279296
0.020000,0.148962,1.082671,0.149849,0.861978,2.909194,4.574691,6.278797
0.020000,0.167409,1.082585,0.168297,0.922370,3.019616,5.521103,6.278267
0.020000,0.187104,1.082483,0.187992,0.984755,3.119238,4.981100,6.277703
0.020000,0.208084,1.082361,0.208972,1.049033,3.213901,4.733177,6.277106
0.020000,0.230392,1.082219,0.231281,1.115407,3.318713,5.240572,6.276476
0.020000,0.254067,1.082052,0.254957,1.183801,3.419688,5.048758,6.275811
0.020000,0.279150,1.081858,0.280040,1.254188,3.519369,4.984083,6.275112
0.020000,0.305681,1.081634,0.306572,1.326570,3.619079,4.985504,6.274378
0.020000,0.333698,1.081377,0.334591,1.400946,3.718824,4.987251,6.273609
0.020000,0.363243,1.081082,0.364137,1.477318,3.818610,4.989287,6.272806
0.020000,0.394355,1.080746,0.395251,1.555687,3.918442,4.991571,6.271967
0.020000,0.427073,1.080364,0.427971,1.636017,4.016513,4.903584,6.271093
0.020000,0.461436,1.079933,0.462336,1.718255,4.111886,4.768641,6.270184
0.020000,0.497484,1.079448,0.498388,1.802587,4.216578,5.234572,6.269241
0.020000,0.535257,1.078902,0.536165,1.888850,4.313146,4.828415,6.268264
0.020000,0.574792,1.078292,0.575705,1.976987,4.406886,4.687005,6.267253
0.020000,0.616131,1.077612,0.617049,2.067204,4.510837,5.197562,6.266210
0.020000,0.659310,1.076856,0.660234,2.159264,4.602999,4.608080,6.265134
0.020000,0.704368,1.076017,0.705300,2.253293,4.701441,4.922123,6.264027
0.020000,0.751345,1.075090,0.752286,2.349304,4.800572,4.956560,6.262890
0.020000,0.800278,1.074068,0.801230,2.447214,4.895475,4.745108,6.261723
0.020000,0.851206,1.072945,0.852171,2.547009,4.989739,4.713213,6.260528
0.020000,0.904146,1.071713,0.905125,2.647708,5.034995,2.262794,6.259307
0.020000,0.959095,1.070366,0.960091,2.748304,5.029762,-0.261624,6.258063
0.020000,1.016051,1.068899,1.017065,2.848719,5.020760,-0.450119,6.256796
0.020000,1.075010,1.067304,1.076046,2.949036,5.015873,-0.244320,6.255511
0.020000,1.135970,1.065577,1.137031,3.049237,5.010008,-0.293259,6.254210
0.020000,1.198929,1.063711,1.200017,3.149322,5.004294,-0.285737,6.252895
0.020000,1.263880,1.061699,1.264999,3.249108,4.989257,-0.751835,6.251569
0.020000,1.330824,1.059537,1.331978,3.348938,4.991512,0.112736,6.250234
0.020000,1.399754,1.057219,1.400947,3.448452,4.975700,-0.790555,6.248894
0.020000,1.470670,1.054738,1.471906,3.547953,4.975070,-0.031523,6.247552
0.020000,1.543566,1.052090,1.544850,3.647206,4.962627,-0.622144,6.246210
0.020000,1.618439,1.049270,1.619776,3.746303,4.954859,-0.388382,6.244871
0.020000,1.695286,1.046273,1.696682,3.845279,4.948788,-0.303592,6.243538
0.020000,1.774103,1.043094,1.775563,3.944078,4.939962,-0.441289,6.242214
0.020000,1.854887,1.039729,1.856417,4.042705,4.931373,-0.429437,6.240902
0.020000,1.937634,1.036174,1.939241,4.141165,4.922975,-0.419890,6.239606
0.020000,2.022341,1.032425,2.024030,4.239459,4.914720,-0.412752,6.238329
0.020000,2.109003,1.028481,2.110782,4.337590,4.906558,-0.408124,6.237073
0.020000,2.197615,1.024336,2.199491,4.435470,4.893994,-0.628188,6.235843
0.020000,2.288176,1.019991,2.290156,4.533252,4.889095,-0.244957,6.234640
0.020000,2.380681,1.015442,2.382773,4.630851,4.879916,-0.458948,6.233470
0.020000,2.475126,1.010688,2.477337,4.728203,4.867616,-0.614987,6.232334
0.020000,2.571507,1.005730,2.573846,4.825435,4.861589,-0.301349,6.231237
