dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000020,0.001986,0.099292,4.964610,0.000801
0.020000,0.000000,0.000000,0.000099,0.005958,0.198584,4.964610,0.000798
0.020000,0.000000,0.000000,0.000278,0.011915,0.297877,4.964610,0.000793
0.020000,0.000000,0.000000,0.000596,0.019858,0.397169,4.964610,0.000783
0.020000,0.000000,0.000000,0.001092,0.029788,0.496461,4.964610,0.000767
0.020000,0.000000,0.000000,0.001807,0.041703,0.595753,4.964610,0.000745
0.020000,0.000000,0.000000,0.002780,0.055604,0.695045,4.964610,0.000714
0.020000,0.000000,0.000000,0.004051,0.071490,0.794338,4.964610,0.000675
0.020000,0.000000,0.000000,0.005660,0.089363,0.893630,4.964610,0.000624
0.020000,0.000000,0.000000,0.007645,0.109221,0.992922,4.964610,0.000562
0.020000,0.000000,0.000000,0.010048,0.131066,1.092214,4.964610,0.000487
0.020000,0.000000,0.000000,0.012908,0.154896,1.191506,4.964610,0.000398
0.020000,0.000000,0.000000,0.016264,0.180712,1.290799,4.964610,0.000293
0.020000,0.000000,0.000000,0.020156,0.208514,1.390091,4.964610,0.000172
0.020000,0.000000,0.000000,0.024624,0.238301,1.489383,4.964610,0.000033
0.020000,0.004030,-0.000000,0.029708,0.270075,1.588675,4.964610,6.283060
0.020000,0.009768,-0.000001,0.035447,0.303834,1.687968,4.964610,6.282882
0.020000,0.016202,-0.000004,0.041881,0.339579,1.787260,4.964610,6.282683
0.020000,0.023372,-0.000008,0.049050,0.377310,1.886552,4.964610,6.282461
0.020000,0.031315,-0.000015,0.056994,0.417027,1.985844,4.964610,6.282216
0.020000,0.040072,-0.000025,0.065751,0.458730,2.085136,4.964610,6.281947
0.020000,0.049685,-0.000038,0.075363,0.502419,2.184429,4.964610,6.281652
0.020000,0.060189,-0.000056,0.085868,0.548093,2.283721,4.964610,6.281331
0.020000,0.071628,-0.000079,0.097306,0.595753,2.383013,4.964610,6.280982
0.020000,0.084039,-0.000109,0.109718,0.645399,2.482305,4.964610,6.280605
0.020000,0.097463,-0.000146,0.123142,0.697031,2.581597,4.964610,6.280199
0.020000,0.111940,-0.000193,0.137619,0.750649,2.680890,4.964610,6.279762
0.020000,0.127510,-0.000250,0.153188,0.806253,2.780182,4.964610,6.279296
0.020000,0.144209,-0.000319,0.169889,0.863842,2.879474,4.964610,6.278797
0.020000,0.162082,-0.000402,0.187762,0.923418,2.978766,4.964610,6.278267
0.020000,0.181167,-0.000501,0.206846,0.984979,3.078058,4.964610,6.277703
0.020000,0.201501,-0.000619,0.227181,1.048526,3.177351,4.964610,6.277106
0.020000,0.223126,-0.000757,0.248806,1.114059,3.276643,4.964610,6.276476
0.020000,0.246081,-0.000919,0.271763,1.181577,3.375935,4.964610,6.275811
0.020000,0.270407,-0.001107,0.296089,1.251082,3.475227,4.964610,6.275112
0.020000,0.296143,-0.001324,0.321826,1.322572,3.574519,4.964610,6.274378
0.020000,0.323328,-0.001574,0.349012,1.396048,3.673812,4.964610,6.273609
0.020000,0.352002,-0.001860,0.377688,1.471510,3.773104,4.964610,6.272806
0.020000,0.382206,-0.002186,0.407892,1.548958,3.872396,4.964610,6.271967
0.020000,0.413978,-0.002556,0.439666,1.628392,3.971688,4.964610,6.271093
0.020000,0.447356,-0.002975,0.473048,1.709812,4.070980,4.964610,6.270184
0.020000,0.482383,-0.003447,0.508078,1.793217,4.170273,4.964610,6.269241
0.020000,0.519098,-0.003977,0.544796,1.878609,4.269565,4.964610,6.268264
0.020000,0.557539,-0.004570,0.583242,1.965986,4.368857,4.964610,6.267253
0.020000,0.597747,-0.005232,0.623456,2.055349,4.468149,4.964610,6.266210
0.020000,0.639761,-0.005968,0.665476,2.146697,4.567441,4.964610,6.265134
0.020000,0.683621,-0.006784,0.709344,2.240032,4.666734,4.964610,6.264027
0.020000,0.729366,-0.007687,0.755097,2.335353,4.766026,4.964610,6.262890
0.020000,0.777036,-0.008682,0.802777,2.432659,4.865318,4.964610,6.261723
0.020000,0.826670,-0.009777,0.852424,2.531951,4.964610,4.964610,6.260528
0.020000,0.878288,-0.010979,0.904056,2.631243,4.964610,-0.000000,6.259307
0.020000,0.931890,-0.012292,0.957673,2.730536,4.964610,0.000000,6.258063
0.020000,0.987475,-0.013724,1.013277,2.829828,4.964610,-0.000000,6.256796
0.020000,1.045043,-0.015281,1.070866,2.929120,4.964610,0.000000,6.255511
0.020000,1.104594,-0.016968,1.130442,3.028412,4.964610,-0.000000,6.254210
0.020000,1.166129,-0.018792,1.192003,3.127704,4.964610,0.000000,6.252895
0.020000,1.229645,-0.020759,1.255550,3.226997,4.964610,0.000000,6.251569
0.020000,1.295144,-0.022875,1.321083,3.326289,4.964610,0.000000,6.250234
0.020000,1.362624,-0.025145,1.388602,3.425581,4.964610,-0.000000,6.248894
0.020000,1.432087,-0.027574,1.458106,3.524873,4.964610,0.000000,6.247552
0.020000,1.503530,-0.030169,1.529596,3.624166,4.964610,-0.000000,6.246210
0.020000,1.576954,-0.032935,1.603073,3.723458,4.964610,0.000000,6.244871
0.020000,1.652359,-0.035876,1.678535,3.822750,4.964610,0.000000,6.243538
0.020000,1.729744,-0.038997,1.755983,3.922042,4.964610,0.000000,6.242214
0.020000,1.809109,-0.042303,1.835416,4.021334,4.964610,-0.000000,6.240902
0.020000,1.890453,-0.045798,1.916836,4.120627,4.964610,0.000000,6.239606
0.020000,1.973777,-0.049485,2.000241,4.219919,4.964610,-0.000000,6.238329
0.020000,2.059081,-0.053368,2.085633,4.319211,4.964610,0.000000,6.237073
0.020000,2.146362,-0.057450,2.173010,4.418503,4.964610,-0.000000,6.235843
0.020000,2.235622,-0.061733,2.262373,4.517795,4.964610,0.000000,6.234640
0.020000,2.326861,-0.066220,2.353722,4.617088,4.964610,0.000000,6.233470
0.020000,2.420078,-0.070912,2.447056,4.716380,4.964610,0.000000,6.232334
0.020000,2.515273,-0.075809,2.542377,4.815672,4.964610,0.000000,6.231237
0.020000,2.612445,-0.080914,2.639683,4.914964,4.964610,0.000000,6.230182
0.020000,2.711595,-0.086225,2.738976,5.014256,4.964610,-0.000000,6.229173
0.020000,2.812723,-0.091741,2.840254,5.113549,4.964610,0.000000,6.228213
0.020000,2.915828,-0.097463,2.943517,5.212841,4.964610,0.000000,6.227306
0.020000,3.020911,-0.103386,3.048767,5.312133,4.964610,-0.000000,6.226456
0.020000,3.127972,-0.109509,3.156003,5.411425,4.964610,-0.000000,6.225666
0.020000,3.237010,-0.115828,3.265224,5.510717,4.964610,0.000000,6.224940
0.020000,3.348027,-0.122339,3.376431,5.610010,4.964610,-0.000000,6.224283
0.020000,3.461022,-0.129037,3.489625,5.709302,4.964610,-0.000000,6.223698
0.020000,3.575995,-0.135914,3.604804,5.808594,4.964610,0.000000,6.223189
0.020000,3.692948,-0.142965,3.721968,5.907886,4.964610,0.000000,6.222762
0.020000,3.811880,-0.150182,3.841119,6.007178,4.964610,-0.000000,6.222419
0.020000,3.932792,-0.157555,3.962255,6.106471,4.964610,0.000000,6.222166
0.020000,4.055684,-0.165074,4.085378,6.205763,4.964610,0.000000,6.222006
0.020000,4.180558,-0.172728,4.210486,6.305055,4.964610,0.000000,6.221946
