dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000867,-1.083000,0.000020,0.001986,0.099292,4.964610,0.000801
0.020000,0.000864,-1.083000,0.000023,0.000135,-0.092557,-9.592438,0.000798
0.020000,0.000858,-1.083000,0.000029,0.000303,0.008419,5.048779,0.000793
0.020000,0.000848,-1.083000,0.000039,0.000539,0.011785,0.168304,0.000783
0.020000,0.000831,-1.083000,0.000056,0.000842,0.015149,0.168187,0.000767
0.020000,0.000807,-1.083000,0.000080,0.001212,0.018509,0.167995,0.000745
0.020000,0.000774,-1.083000,0.000113,0.001649,0.021863,0.167709,0.000714
0.020000,0.000731,-1.083000,0.000157,0.002153,0.025209,0.167312,0.000675
0.020000,0.000676,-1.083000,0.000211,0.002724,0.028545,0.166783,0.000624
0.020000,0.000609,-1.083000,0.000278,0.003362,0.031867,0.166106,0.000562
0.020000,0.000527,-1.083000,0.000360,0.004065,0.035172,0.165261,0.000487
0.020000,0.000431,-1.083000,0.000456,0.004834,0.038457,0.164229,0.000398
0.020000,0.000317,-1.083000,0.000570,0.005669,0.041717,0.162994,0.000293
0.020000,0.000186,-1.083000,0.000701,0.006567,0.044947,0.161535,0.000172
0.020000,0.000035,-1.083000,0.000852,0.007530,0.048144,0.159836,0.000033
0.020000,0.003894,-1.083000,0.004710,0.192932,9.270076,461.096591,6.283060
0.020000,0.009440,-1.083001,0.010256,0.277281,4.217463,-252.630634,6.282882
0.020000,0.015658,-1.083004,0.016474,0.310916,1.681741,-126.786085,6.282683
0.020000,0.022588,-1.083008,0.023404,0.346489,1.778654,4.845641,6.282461
0.020000,0.030265,-1.083015,0.031081,0.383877,1.869420,4.538290,6.282216
0.020000,0.038731,-1.083024,0.039547,0.423268,1.969535,5.005739,6.281947
0.020000,0.048024,-1.083037,0.048840,0.464660,2.069611,5.003810,6.281652
0.020000,0.058180,-1.083054,0.058996,0.507810,2.157482,4.393553,6.281331
0.020000,0.069241,-1.083077,0.070057,0.553058,2.262382,5.245005,6.280982
0.020000,0.081244,-1.083105,0.082060,0.600153,2.354778,4.619780,6.280605
0.020000,0.094229,-1.083141,0.095045,0.649230,2.453856,4.953925,6.280199
0.020000,0.108233,-1.083186,0.109049,0.700204,2.548659,4.740119,6.279762
0.020000,0.123297,-1.083241,0.124114,0.753220,2.650840,5.109074,6.279296
0.020000,0.139457,-1.083308,0.140274,0.808001,2.739038,4.409880,6.278797
0.020000,0.156755,-1.083389,0.157572,0.864906,2.845269,5.311558,6.278267
0.020000,0.175230,-1.083485,0.176046,0.923740,2.941692,4.821167,6.277703
0.020000,0.194918,-1.083599,0.195735,0.984416,3.033792,4.604979,6.277106
0.020000,0.215860,-1.083733,0.216677,1.047131,3.135762,5.098500,6.276476
0.020000,0.238096,-1.083889,0.238914,1.111821,3.234505,4.937167,6.275811
0.020000,0.261664,-1.084071,0.262483,1.178470,3.332424,4.895951,6.275112
0.020000,0.286605,-1.084282,0.287425,1.247086,3.430779,4.917753,6.274378
0.020000,0.312958,-1.084524,0.313779,1.317678,3.529597,4.940875,6.273609
0.020000,0.340761,-1.084801,0.341584,1.390256,3.628903,4.965289,6.272806
0.020000,0.370056,-1.085118,0.370880,1.464830,3.728722,4.990964,6.271967
0.020000,0.400882,-1.085477,0.401708,1.541377,3.827374,4.932594,6.271093
0.020000,0.433276,-1.085884,0.434105,1.619857,3.923988,4.830707,6.270184
0.020000,0.467282,-1.086342,0.468114,1.700456,4.029916,5.296418,6.269241
0.020000,0.502939,-1.086857,0.503775,1.783030,4.128738,4.941088,6.268264
0.020000,0.540285,-1.087433,0.541125,1.867539,4.225451,4.835652,6.267253
0.020000,0.579364,-1.088076,0.580209,1.954187,4.332396,5.347239,6.266210
0.020000,0.620213,-1.088791,0.621064,2.042763,4.428806,4.820529,6.265134
0.020000,0.662874,-1.089585,0.663732,2.133399,4.531775,5.148432,6.264027
0.020000,0.707387,-1.090464,0.708255,2.226120,4.636043,5.213404,6.262890
0.020000,0.753794,-1.091433,0.754672,2.320859,4.736967,5.046194,6.261723
0.020000,0.802135,-1.092499,0.803024,2.417618,4.837958,5.049572,6.260528
0.020000,0.852431,-1.093670,0.853334,2.515479,4.893057,2.754920,6.259307
0.020000,0.904685,-1.094950,0.905604,2.613492,4.900651,0.379691,6.258063
0.020000,0.958899,-1.096347,0.959836,2.711592,4.905000,0.217463,6.256796
0.020000,1.015076,-1.097866,1.016033,2.809864,4.913594,0.429688,6.255511
0.020000,1.073218,-1.099514,1.074199,2.908296,4.921579,0.399287,6.254210
0.020000,1.133330,-1.101296,1.134337,3.006896,4.930021,0.422104,6.252895
0.020000,1.195410,-1.103218,1.196447,3.105493,4.929853,-0.008430,6.251569
0.020000,1.259465,-1.105287,1.260535,3.204423,4.946495,0.832091,6.250234
0.020000,1.325495,-1.107508,1.326602,3.303346,4.946142,-0.017632,6.248894
0.020000,1.393504,-1.109887,1.394653,3.402558,4.960592,0.722496,6.247552
0.020000,1.463495,-1.112429,1.464690,3.501838,4.963989,0.169872,6.246210
0.020000,1.535469,-1.115140,1.536716,3.601280,4.972121,0.406569,6.244871
0.020000,1.609431,-1.118025,1.610734,3.700923,4.982138,0.500884,6.243538
0.020000,1.685384,-1.121089,1.686748,3.800718,4.989758,0.380988,6.242214
0.020000,1.763330,-1.124335,1.764762,3.900675,4.997849,0.404522,6.240902
0.020000,1.843272,-1.127770,1.844778,4.000802,5.006365,0.425820,6.239606
0.020000,1.925214,-1.131396,1.926800,4.101108,5.015262,0.444835,6.238329
0.020000,2.009159,-1.135217,2.010832,4.201597,5.024492,0.461521,6.237073
0.020000,2.095109,-1.139237,2.096876,4.302191,5.029698,0.260284,6.235843
0.020000,2.183069,-1.143457,2.184937,4.403043,5.042581,0.644159,6.234640
0.020000,2.273042,-1.147882,2.275018,4.504074,5.051573,0.449607,6.233470
0.020000,2.365030,-1.152512,2.367123,4.605230,5.057783,0.310484,6.232334
