dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.002506,1.082997,0.000020,0.001988,0.099406,4.970300,0.002314
0.020000,-0.002501,1.082997,0.000025,0.000273,-0.085735,-9.257051,0.002309
0.020000,-0.002488,1.082997,0.000038,0.000615,0.017088,5.141155,0.002298
0.020000,-0.002466,1.082997,0.000060,0.001094,0.023922,0.341671,0.002277
0.020000,-0.002432,1.082997,0.000094,0.001709,0.030752,0.341531,0.002246
0.020000,-0.002383,1.082997,0.000143,0.002460,0.037578,0.341303,0.002200
0.020000,-0.002316,1.082998,0.000210,0.003348,0.044397,0.340963,0.002139
0.020000,-0.002229,1.082998,0.000297,0.004372,0.051207,0.340490,0.002058
0.020000,-0.002118,1.082998,0.000408,0.005532,0.058005,0.339862,0.001956
0.020000,-0.001981,1.082998,0.000545,0.006828,0.064786,0.339056,0.001830
0.020000,-0.001816,1.082998,0.000710,0.008259,0.071547,0.338051,0.001677
0.020000,-0.001620,1.082999,0.000906,0.009825,0.078283,0.336824,0.001496
0.020000,-0.001389,1.082999,0.001137,0.011525,0.084990,0.335354,0.001283
0.020000,-0.001122,1.082999,0.001404,0.013358,0.091663,0.333619,0.001036
0.020000,-0.000816,1.083000,0.001710,0.015324,0.098295,0.331598,0.000753
0.020000,-0.000467,1.083000,0.002059,0.017421,0.104880,0.329269,0.000431
0.020000,-0.000074,1.083000,0.002452,0.019650,0.111412,0.326611,0.000068
0.020000,0.005720,1.082999,0.008246,0.289708,13.502914,669.575102,6.282848
0.020000,0.013385,1.082995,0.015911,0.383243,4.676739,-441.308738,6.282395
0.020000,0.021879,1.082986,0.024405,0.424696,2.072656,-130.204196,6.281895
0.020000,0.031244,1.082971,0.033770,0.468288,2.179625,5.348462,6.281344
0.020000,0.041522,1.082949,0.044048,0.513898,2.280512,5.044370,6.280741
0.020000,0.052749,1.082918,0.055275,0.561330,2.371572,4.552988,6.280083
0.020000,0.064975,1.082876,0.067501,0.611307,2.498877,6.365274,6.279368
0.020000,0.078244,1.082820,0.080770,0.663432,2.606250,5.368643,6.278593
0.020000,0.092583,1.082748,0.095109,0.716985,2.677638,3.569379,6.277758
0.020000,0.108050,1.082657,0.110577,0.773368,2.819145,7.075332,6.276860
0.020000,0.124681,1.082544,0.127208,0.831536,2.908413,4.463400,6.275896
0.020000,0.142514,1.082405,0.145042,0.891712,3.008785,5.018603,6.274866
0.020000,0.161599,1.082236,0.164127,0.954268,3.127798,5.950683,6.273767
0.020000,0.181968,1.082032,0.184497,1.018483,3.210770,4.148568,6.272598
0.020000,0.203670,1.081789,0.206200,1.085180,3.334835,6.203247,6.271357
0.020000,0.226742,1.081500,0.229275,1.153705,3.426247,4.570637,6.270043
0.020000,0.251225,1.081162,0.253760,1.224282,3.528849,5.130083,6.268654
0.020000,0.277167,1.080766,0.279705,1.297248,3.648287,5.971897,6.267188
0.020000,0.304598,1.080306,0.307140,1.371750,3.725089,3.840094,6.265645
0.020000,0.333565,1.079774,0.336112,1.448592,3.842106,5.850877,6.264024
0.020000,0.364111,1.079163,0.366663,1.527575,3.949149,5.352123,6.262323
0.020000,0.396274,1.078463,0.398834,1.608541,4.048307,4.957890,6.260541
0.020000,0.430093,1.077665,0.432663,1.691439,4.144935,4.831429,6.258679
0.020000,0.465607,1.076760,0.468188,1.776237,4.239887,4.747588,6.256734
0.020000,0.502858,1.075737,0.505453,1.863254,4.350858,5.548570,6.254707
0.020000,0.541886,1.074584,0.544498,1.952268,4.450678,4.991008,6.252597
0.020000,0.582731,1.073289,0.585364,2.043282,4.550716,5.001891,6.250404
0.020000,0.625433,1.071840,0.628090,2.136302,4.651003,5.014358,6.248127
0.020000,0.670027,1.070223,0.672714,2.231199,4.744836,4.691647,6.245768
0.020000,0.716553,1.068425,0.719274,2.328024,4.841260,4.821157,6.243325
0.020000,0.765052,1.066429,0.767814,2.427000,4.948773,5.375666,6.240800
0.020000,0.815564,1.064221,0.818375,2.528006,5.050296,5.076145,6.238192
0.020000,0.868125,1.061783,0.870992,2.630883,5.143862,4.678294,6.235503
0.020000,0.922746,1.059101,0.925679,2.734331,5.172388,1.426309,6.232734
0.020000,0.979434,1.056157,0.982443,2.838222,5.194570,1.109128,6.229888
0.020000,1.038172,1.052938,1.041270,2.941322,5.155009,-1.978093,6.226968
0.020000,1.098968,1.049425,1.102167,3.044849,5.176319,1.065535,6.223978
0.020000,1.161803,1.045604,1.165118,3.147579,5.136533,-1.989304,6.220920
0.020000,1.226686,1.041457,1.230133,3.250763,5.159183,1.132482,6.217799
0.020000,1.293602,1.036968,1.297199,3.353296,5.126653,-1.626499,6.214616
0.020000,1.362546,1.032121,1.366315,3.455757,5.123048,-0.180249,6.211376
0.020000,1.433519,1.026898,1.437479,3.558217,5.123014,-0.001710,6.208081
0.020000,1.506512,1.021282,1.510687,3.660430,5.110624,-0.619488,6.204736
0.020000,1.581518,1.015257,1.585936,3.762408,5.098925,-0.584918,6.201344
0.020000,1.658531,1.008807,1.663218,3.864123,5.085739,-0.659334,6.197907
0.020000,1.737545,1.001914,1.742532,3.965677,5.077686,-0.402655,6.194431
0.020000,1.818554,0.994561,1.823874,4.067128,5.072564,-0.256064,6.190917
0.020000,1.901551,0.986732,1.907240,4.168287,5.057958,-0.730299,6.187370
0.020000,1.986530,0.978411,1.992625,4.269265,5.048874,-0.454217,6.183792
0.020000,2.073486,0.969581,2.080028,4.370120,5.042776,-0.304893,6.180189
0.020000,2.162411,0.960226,2.169444,4.470833,5.035633,-0.357166,6.176562
0.020000,2.253303,0.950330,2.260873,4.571414,5.029074,-0.327956,6.172915
0.020000,2.346148,0.939877,2.354305,4.671616,5.010095,-0.948959,6.169253
0.020000,2.440941,0.928853,2.449736,4.771568,4.997611,-0.624157,6.165578
0.020000,2.537681,0.917242,2.547171,4.871744,5.008785,0.558667,6.161893
0.020000,2.636353,0.905030,2.646595,4.971201,4.972857,-1.796380,6.158203
0.020000,2.736957,0.892200,2.748014,5.070950,4.987457,0.729981,6.154510
0.020000,2.839480,0.878742,2.851417,5.170142,4.959579,-1.393868,6.150817
0.020000,2.943924,0.864639,2.956809,5.269593,4.972547,0.648380,6.147129
0.020000,3.050270,0.849880,3.064174,5.368245,4.932589,-1.997908,6.143449
0.020000,3.158522,0.834450,3.173520,5.467304,4.952958,1.018455,6.139778
0.020000,3.268671,0.818339,3.284841,5.566071,4.938382,-0.728781,6.136122
0.020000,3.380703,0.801534,3.398127,5.664267,4.909783,-1.429956,6.132482
0.020000,3.494619,0.784023,3.513380,5.762693,4.921310,0.576332,6.128863
0.020000,3.610411,0.765797,3.630599,5.860908,4.910724,-0.529298,6.125266
0.020000,3.728073,0.746843,3.749777,5.958925,4.900840,-0.494204,6.121695
0.020000,3.847597,0.727153,3.870912,6.056757,4.891624,-0.460785,6.118154
0.020000,3.968977,0.706718,3.994001,6.154418,4.883041,-0.429155,6.114644
0.020000,4.092207,0.685529,4.119039,6.251919,4.875053,-0.399423,6.111169
0.020000,4.217281,0.663577,4.246024,6.349271,4.867619,-0.371695,6.107732
0.020000,4.344193,0.640855,4.374954,6.446485,4.860697,-0.346069,6.104336
0.020000,4.472937,0.617356,4.505826,6.543570,4.854245,-0.322639,6.100982
0.020000,4.603509,0.593074,4.638636,6.640534,4.848215,-0.301496,6.097674
0.020000,4.735904,0.568003,4.773384,6.737386,4.842560,-0.282726,6.094415
0.020000,4.870111,0.542140,4.910060,6.833824,4.821908,-1.032626,6.091207
0.020000,5.006130,0.515478,5.048667,6.930347,4.826170,0.213116,6.088053
0.020000,5.143957,0.488013,5.189204,7.026855,4.825416,-0.037703,6.084956
0.020000,5.283582,0.459745,5.331663,7.122904,4.802438,-1.148877,6.081917
0.020000,5.425005,0.430670,5.476044,7.219052,4.807395,0.247860,6.078940
