dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000020,0.001988,0.099406,4.970300,0.002314
0.020000,0.000000,0.000000,0.000099,0.005964,0.198812,4.970300,0.002309
0.020000,0.000000,0.000000,0.000278,0.011929,0.298218,4.970300,0.002298
0.020000,0.000000,0.000000,0.000596,0.019881,0.397624,4.970300,0.002277
0.020000,0.000000,0.000000,0.001093,0.029822,0.497030,4.970300,0.002246
0.020000,0.000000,0.000000,0.001809,0.041751,0.596436,4.970300,0.002200
0.020000,0.000000,0.000000,0.002783,0.055667,0.695842,4.970300,0.002139
0.020000,0.000000,0.000000,0.004056,0.071572,0.795248,4.970300,0.002058
0.020000,0.000000,0.000000,0.005666,0.089465,0.894654,4.970300,0.001956
0.020000,0.000000,0.000000,0.007654,0.109347,0.994060,4.970300,0.001830
0.020000,0.000000,0.000000,0.010060,0.131216,1.093466,4.970300,0.001677
0.020000,0.000000,0.000000,0.012923,0.155073,1.192872,4.970300,0.001496
0.020000,0.000000,0.000000,0.016283,0.180919,1.292278,4.970300,0.001283
0.020000,0.000000,0.000000,0.020179,0.208753,1.391684,4.970300,0.001036
0.020000,0.000000,0.000000,0.024653,0.238574,1.491090,4.970300,0.000753
0.020000,0.000000,0.000000,0.029742,0.270384,1.590496,4.970300,0.000431
0.020000,0.000000,0.000000,0.035488,0.304182,1.689902,4.970300,0.000068
0.020000,0.005354,-0.000001,0.041929,0.339969,1.789308,4.970300,6.282848
0.020000,0.012529,-0.000005,0.049107,0.377743,1.888714,4.970300,6.282395
0.020000,0.020482,-0.000013,0.057059,0.417505,1.988120,4.970300,6.281895
0.020000,0.029251,-0.000027,0.065827,0.459256,2.087526,4.970300,6.281344
0.020000,0.038875,-0.000048,0.075449,0.502994,2.186932,4.970300,6.280741
0.020000,0.049389,-0.000077,0.085966,0.548721,2.286338,4.970300,6.280083
0.020000,0.060841,-0.000116,0.097418,0.596436,2.385744,4.970300,6.279368
0.020000,0.073270,-0.000169,0.109844,0.646139,2.485150,4.970300,6.278593
0.020000,0.086706,-0.000236,0.123283,0.697830,2.584556,4.970300,6.277758
0.020000,0.101200,-0.000321,0.137777,0.751509,2.683962,4.970300,6.276860
0.020000,0.116787,-0.000427,0.153364,0.807177,2.783368,4.970300,6.275896
0.020000,0.133505,-0.000558,0.170084,0.864832,2.882774,4.970300,6.274866
