dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002506,-1.082997,0.000020,0.001988,0.099406,4.970300,0.002314
0.020000,0.002501,-1.082997,0.000025,0.000273,-0.085735,-9.257051,0.002309
0.020000,0.002488,-1.082997,0.000038,0.000615,0.017088,5.141155,0.002298
0.020000,0.002466,-1.082997,0.000060,0.001094,0.023922,0.341671,0.002277
0.020000,0.002432,-1.082997,0.000094,0.001709,0.030752,0.341531,0.002246
0.020000,0.002383,-1.082997,0.000143,0.002460,0.037578,0.341303,0.002200
0.020000,0.002316,-1.082998,0.000210,0.003348,0.044397,0.340963,0.002139
0.020000,0.002229,-1.082998,0.000297,0.004372,0.051207,0.340490,0.002058
0.020000,0.002118,-1.082998,0.000408,0.005532,0.058005,0.339862,0.001956
0.020000,0.001981,-1.082998,0.000545,0.006828,0.064786,0.339056,0.001830
0.020000,0.001816,-1.082998,0.000710,0.008259,0.071547,0.338051,0.001677
0.020000,0.001620,-1.082999,0.000906,0.009825,0.078283,0.336824,0.001496
0.020000,0.001389,-1.082999,0.001137,0.011525,0.084990,0.335354,0.001283
0.020000,0.001122,-1.082999,0.001404,0.013358,0.091663,0.333619,0.001036
0.020000,0.000816,-1.083000,0.001710,0.015324,0.098295,0.331598,0.000753
0.020000,0.000467,-1.083000,0.002059,0.017421,0.104880,0.329269,0.000431
0.020000,0.000074,-1.083000,0.002452,0.019650,0.111412,0.326611,0.000068
0.020000,0.004988,-1.083001,0.007366,0.245712,11.303128,559.585787,6.282848
0.020000,0.011674,-1.083005,0.014052,0.334282,4.428476,-343.732578,6.282395
0.020000,0.019084,-1.083012,0.021462,0.370513,1.811551,-130.846270,6.281895
0.020000,0.027257,-1.083025,0.029635,0.408633,1.906035,4.724194,6.281344
0.020000,0.036228,-1.083044,0.038605,0.448542,1.995412,4.468841,6.280741
0.020000,0.046029,-1.083072,0.048407,0.490070,2.076423,4.050566,6.280083
0.020000,0.056706,-1.083108,0.059084,0.533856,2.189317,5.644704,6.279368
0.020000,0.068297,-1.083157,0.070675,0.579558,2.285079,4.788089,6.278593
0.020000,0.080828,-1.083220,0.083206,0.626551,2.349674,3.229742,6.277758
0.020000,0.094349,-1.083299,0.096727,0.676068,2.475837,6.308186,6.276860
0.020000,0.108893,-1.083398,0.111271,0.727202,2.556681,4.042203,6.275896
0.020000,0.124496,-1.083520,0.126875,0.780153,2.647569,4.544385,6.274866
0.020000,0.141200,-1.083668,0.143580,0.835256,2.755142,5.378620,6.273767
0.020000,0.159037,-1.083847,0.161417,0.891887,2.831563,3.821071,6.272598
0.020000,0.178051,-1.084060,0.180433,0.950775,2.944379,5.640802,6.271357
0.020000,0.198277,-1.084312,0.200660,1.011356,3.029043,4.233215,6.270043
0.020000,0.219751,-1.084610,0.222137,1.073835,3.123967,4.746200,6.268654
0.020000,0.242519,-1.084957,0.244907,1.138518,3.234161,5.509658,6.267188
0.020000,0.266609,-1.085361,0.269000,1.204667,3.307450,3.664471,6.265645
0.020000,0.292065,-1.085828,0.294460,1.272999,3.416571,5.456038,6.264024
0.020000,0.318926,-1.086366,0.321327,1.343349,3.517513,5.047109,6.262323
0.020000,0.347231,-1.086982,0.349639,1.415591,3.612113,4.729982,6.260541
0.020000,0.377017,-1.087684,0.379433,1.489693,3.705086,4.648686,6.258679
0.020000,0.408320,-1.088482,0.410746,1.565637,3.797199,4.605649,6.256734
0.020000,0.441182,-1.089385,0.443620,1.643719,3.904085,5.344267,6.254707
0.020000,0.475642,-1.090403,0.478095,1.723755,4.001825,4.887002,6.252597
0.020000,0.511739,-1.091547,0.514211,1.805764,4.100450,4.931287,6.250404
0.020000,0.549512,-1.092829,0.552006,1.889764,4.200011,4.978047,6.248127
0.020000,0.588999,-1.094261,0.591519,1.975656,4.294589,4.728909,6.245768
0.020000,0.630239,-1.095855,0.632789,2.063500,4.392195,4.880272,6.243325
0.020000,0.673272,-1.097626,0.675859,2.153508,4.500402,5.410347,6.240800
0.020000,0.718141,-1.099587,0.720771,2.245590,4.604100,5.184887,6.238192
0.020000,0.764884,-1.101755,0.767563,2.339621,4.701525,4.871294,6.235503
0.020000,0.813514,-1.104143,0.816252,2.434457,4.741799,2.013698,6.232734
0.020000,0.864046,-1.106767,0.866852,2.529995,4.776932,1.756610,6.229888
0.020000,0.916470,-1.109640,0.919355,2.625143,4.757398,-0.976680,6.226968
0.020000,0.970799,-1.112780,0.973775,2.720993,4.792474,1.753819,6.223978
0.020000,1.027025,-1.116199,1.030104,2.816458,4.773275,-0.959966,6.220920
0.020000,1.085159,-1.119915,1.088357,2.912662,4.810174,1.844934,6.217799
0.020000,1.145197,-1.123942,1.148530,3.008620,4.797923,-0.612538,6.214616
0.020000,1.207141,-1.128297,1.210627,3.104856,4.811776,0.692634,6.211376
0.020000,1.270997,-1.132997,1.274656,3.201437,4.829058,0.864097,6.208081
0.020000,1.336765,-1.138056,1.340619,3.298145,4.835408,0.317498,6.204736
0.020000,1.404447,-1.143493,1.408519,3.394995,4.842501,0.354696,6.201344
0.020000,1.474043,-1.149322,1.478358,3.491962,4.848347,0.292266,6.197907
0.020000,1.545554,-1.155561,1.550141,3.589140,4.858905,0.527934,6.194431
0.020000,1.618984,-1.162225,1.623872,3.686584,4.872191,0.664259,6.190917
0.020000,1.694332,-1.169333,1.699555,3.784122,4.876918,0.236380,6.187370
0.020000,1.771599,-1.176899,1.777192,3.881855,4.886653,0.486740,6.183792
0.020000,1.850789,-1.184940,1.856789,3.979837,4.899101,0.622376,6.180189
0.020000,1.931902,-1.193473,1.938349,4.078049,4.910580,0.573962,6.176562
0.020000,2.014942,-1.202515,2.021879,4.176500,4.922552,0.598624,6.172915
0.020000,2.099904,-1.212080,2.107379,4.274962,4.923092,0.027002,6.169253
0.020000,2.186789,-1.222184,2.194850,4.373550,4.929440,0.317382,6.165578
0.020000,2.275606,-1.232845,2.284304,4.472698,4.957392,1.397618,6.161893
0.020000,2.366344,-1.244075,2.375734,4.571538,4.941989,-0.770170,6.158203
0.020000,2.459014,-1.255893,2.469154,4.670995,4.972858,1.543448,6.154510
0.020000,2.553608,-1.268310,2.564560,4.770285,4.964487,-0.418527,6.150817
0.020000,2.650135,-1.281344,2.661963,4.870157,4.993608,1.456018,6.147129
0.020000,2.748584,-1.295008,2.761356,4.969630,4.973641,-0.998327,6.143449
0.020000,2.848966,-1.309315,2.862752,5.069815,5.009273,1.781610,6.139778
0.020000,2.951278,-1.324281,2.966153,5.170063,5.012395,0.156092,6.136122
0.020000,3.055514,-1.339916,3.071556,5.270108,5.002208,-0.509357,6.132482
0.020000,3.161681,-1.356236,3.178969,5.370690,5.029103,1.344741,6.128863
0.020000,3.269778,-1.373251,3.288397,5.471394,5.035237,0.306705,6.125266
0.020000,3.379804,-1.390975,3.399842,5.572230,5.041785,0.327396,6.121695
0.020000,3.491760,-1.409418,3.513306,5.673204,5.048718,0.346643,6.118154
0.020000,3.605643,-1.428591,3.628792,5.774324,5.056006,0.364397,6.114644
0.020000,3.721456,-1.448505,3.746304,5.875597,5.063618,0.380609,6.111169
0.020000,3.839196,-1.469170,3.865845,5.977027,5.071523,0.395234,6.107732
0.020000,3.958866,-1.490595,3.987417,6.078621,5.079687,0.408233,6.104336
0.020000,4.080465,-1.512790,4.111025,6.180383,5.088079,0.419564,6.100982
0.020000,4.203993,-1.535762,4.236671,6.282316,5.096662,0.429192,6.097674
0.020000,4.329452,-1.559519,4.364360,6.384424,5.105404,0.437081,6.094415
0.020000,4.456837,-1.584068,4.494088,6.486418,5.099711,-0.284658,6.091207
0.020000,4.586151,-1.609416,4.625863,6.588767,5.117453,0.887109,6.088053
0.020000,4.717398,-1.635569,4.759691,6.691373,5.130309,0.642803,6.084956
0.020000,4.850572,-1.662531,4.895567,6.793810,5.121827,-0.424097,6.081917
